County,Year,Party,Voters
Jefferson,2000,Democrat,2014 
Johnson,2000,Democrat,1423 
Kearney,2000,Democrat,1399 
Keith,2000,Democrat,1560 
Keya Paha,2000,Democrat,197 
Kimball,2000,Democrat,710 
Knox,2000,Democrat,2393 
Lancaster,2000,Democrat,62941 
Lincoln,2000,Democrat,8918 
Logan,2000,Democrat,99 
Loup,2000,Democrat,125 
Madison,2000,Democrat,5749 
McPherson,2000,Democrat,91 
Merrick,2000,Democrat,1772 
Morrill,2000,Democrat,936 
Nance,2000,Democrat,1267 
Nemaha,2000,Democrat,1850 
Nuckolls,2000,Democrat,1502 
Otoe,2000,Democrat,3612 
Pawnee,2000,Democrat,808 
Perkins,2000,Democrat,665 
Phelps,2000,Democrat,1830 
Pierce,2000,Democrat,1364 
Platte,2000,Democrat,6755 
Polk,2000,Democrat,1163 
Red Willow,2000,Democrat,2174 
Richardson,2000,Democrat,2667 
Rock,2000,Democrat,237 
Saline,2000,Democrat,4442 
Sarpy,2000,Democrat,23457 
Saunders,2000,Democrat,5786 
Scotts Bluff,2000,Democrat,7720 
Seward,2000,Democrat,3733 
Sheridan,2000,Democrat,1046 
Sherman,2000,Democrat,1271 
Sioux,2000,Democrat,213 
Stanton,2000,Democrat,938 
Thayer,2000,Democrat,1389 
Thomas,2000,Democrat,123 
Thurston,2000,Democrat,2408 
Valley,2000,Democrat,1141 
Washington,2000,Democrat,3649 
Wayne,2000,Democrat,1718 
Webster,2000,Democrat,962 
Wheeler,2000,Democrat,207 
York,2000,Democrat,2414 
Adams,2016,Non-Partisan,3633 
Antelope,2016,Non-Partisan,588 
Arthur,2016,Non-Partisan,15 
Banner,2016,Non-Partisan,76 
Blaine,2016,Non-Partisan,30 
Boone,2016,Non-Partisan,413 
Box Butte,2016,Non-Partisan,1389 
Boyd,2016,Non-Partisan,159 
Brown,2016,Non-Partisan,211 
Buffalo,2016,Non-Partisan,5546 
Burt,2016,Non-Partisan,901 
Butler,2016,Non-Partisan,909 
Cass,2016,Non-Partisan,4063 
Cedar,2016,Non-Partisan,883 
Chase,2016,Non-Partisan,281 
Cherry,2016,Non-Partisan,459 
Cheyenne,2016,Non-Partisan,1347 
Clay,2016,Non-Partisan,648 
Colfax,2016,Non-Partisan,714 
Cuming,2016,Non-Partisan,898 
Custer,2016,Non-Partisan,1175 
Dakota,2016,Non-Partisan,2710 
Dawes,2016,Non-Partisan,1189 
Dawson,2016,Non-Partisan,2439 
Deuel,2016,Non-Partisan,212 
Dixon,2016,Non-Partisan,553 
Dodge,2016,Non-Partisan,4703 
Douglas,2016,Non-Partisan,81148 
Dundy,2016,Non-Partisan,159 
Fillmore,2016,Non-Partisan,652 
Franklin,2016,Non-Partisan,367 
Frontier,2016,Non-Partisan,265 
Furnas,2016,Non-Partisan,526 
Gage,2016,Non-Partisan,2797 
Garden,2016,Non-Partisan,143 
Garfield,2016,Non-Partisan,117 
Gosper,2016,Non-Partisan,182 
Grant,2016,Non-Partisan,35 
Greeley,2016,Non-Partisan,151 
Hall,2016,Non-Partisan,6872 
Hamilton,2016,Non-Partisan,952 
Harlan,2016,Non-Partisan,346 
Hayes,2016,Non-Partisan,83 
Hitchcock,2016,Non-Partisan,359 
Holt,2016,Non-Partisan,725 
Hooker,2016,Non-Partisan,38 
Howard,2016,Non-Partisan,648 
Jefferson,2016,Non-Partisan,917 
Johnson,2016,Non-Partisan,427 
Kearney,2016,Non-Partisan,688 
Keith,2016,Non-Partisan,1067 
Keya Paha,2016,Non-Partisan,47 
Kimball,2016,Non-Partisan,547 
Knox,2016,Non-Partisan,857 
Lancaster,2016,Non-Partisan,40758 
Lincoln,2016,Non-Partisan,4278 
Logan,2016,Non-Partisan,69 
Loup,2016,Non-Partisan,27 
Madison,2016,Non-Partisan,3919 
McPherson,2016,Non-Partisan,24 
Merrick,2016,Non-Partisan,719 
Morrill,2016,Non-Partisan,524 
Nance,2016,Non-Partisan,340 
Nemaha,2016,Non-Partisan,822 
Nuckolls,2016,Non-Partisan,457 
Otoe,2016,Non-Partisan,2286 
Pawnee,2016,Non-Partisan,270 
Perkins,2016,Non-Partisan,282 
Phelps,2016,Non-Partisan,846 
Pierce,2016,Non-Partisan,800 
Platte,2016,Non-Partisan,3051 
Polk,2016,Non-Partisan,483 
Red Willow,2016,Non-Partisan,1342 
Richardson,2016,Non-Partisan,891 
Rock,2016,Non-Partisan,74 
Saline,2016,Non-Partisan,1433 
Sarpy,2016,Non-Partisan,27908 
Saunders,2016,Non-Partisan,2547 
Scotts Bluff,2016,Non-Partisan,4885 
Seward,2016,Non-Partisan,2021 
Sheridan,2016,Non-Partisan,624 
Sherman,2016,Non-Partisan,205 
Sioux,2016,Non-Partisan,109 
Stanton,2016,Non-Partisan,556 
Thayer,2016,Non-Partisan,604 
Thomas,2016,Non-Partisan,49 
Thurston,2016,Non-Partisan,669 
Valley,2016,Non-Partisan,347 
Washington,2016,Non-Partisan,2819 
Wayne,2016,Non-Partisan,854 
Webster,2016,Non-Partisan,378 
Wheeler,2016,Non-Partisan,57 
York,2016,Non-Partisan,1517 
Adams,2012,Non-Partisan,3096 
Antelope,2012,Non-Partisan,558 
Arthur,2012,Non-Partisan,13 
Banner,2012,Non-Partisan,64 
Blaine,2012,Non-Partisan,27 
Boone,2012,Non-Partisan,408 
Box Butte,2012,Non-Partisan,1304 
Boyd,2012,Non-Partisan,135 
Brown,2012,Non-Partisan,195 
Buffalo,2012,Non-Partisan,4870 
Burt,2012,Non-Partisan,853 
Butler,2012,Non-Partisan,928 
Cass,2012,Non-Partisan,3773 
Cedar,2012,Non-Partisan,924 
Chase,2012,Non-Partisan,288 
Cherry,2012,Non-Partisan,481 
Cheyenne,2012,Non-Partisan,1352 
Clay,2012,Non-Partisan,604 
Colfax,2012,Non-Partisan,592 
Cuming,2012,Non-Partisan,820 
Custer,2012,Non-Partisan,1118 
Dakota,2012,Non-Partisan,2404 
Dawes,2012,Non-Partisan,1141 
Dawson,2012,Non-Partisan,2347 
Deuel,2012,Non-Partisan,222 
Dixon,2012,Non-Partisan,626 
Dodge,2012,Non-Partisan,4358 
Douglas,2012,Non-Partisan,73777 
Dundy,2012,Non-Partisan,151 
Fillmore,2012,Non-Partisan,635 
Franklin,2012,Non-Partisan,350 
Frontier,2012,Non-Partisan,237 
Furnas,2012,Non-Partisan,509 
Gage,2012,Non-Partisan,2660 
Garden,2012,Non-Partisan,157 
Garfield,2012,Non-Partisan,102 
Gosper,2012,Non-Partisan,182 
Grant,2012,Non-Partisan,39 
Greeley,2012,Non-Partisan,172 
Hall,2012,Non-Partisan,6412 
Hamilton,2012,Non-Partisan,881 
Harlan,2012,Non-Partisan,315 
Hayes,2012,Non-Partisan,85 
Hitchcock,2012,Non-Partisan,336 
Holt,2012,Non-Partisan,715 
Hooker,2012,Non-Partisan,53 
Howard,2012,Non-Partisan,590 
Jefferson,2012,Non-Partisan,887 
Johnson,2012,Non-Partisan,392 
Kearney,2012,Non-Partisan,637 
Keith,2012,Non-Partisan,1099 
Keya Paha,2012,Non-Partisan,31 
Kimball,2012,Non-Partisan,499 
Knox,2012,Non-Partisan,830 
Lancaster,2012,Non-Partisan,38710 
Lincoln,2012,Non-Partisan,3935 
Logan,2012,Non-Partisan,62 
Loup,2012,Non-Partisan,41 
Madison,2012,Non-Partisan,3612 
McPherson,2012,Non-Partisan,21 
Merrick,2012,Non-Partisan,655 
Morrill,2012,Non-Partisan,512 
Nance,2012,Non-Partisan,331 
Nemaha,2012,Non-Partisan,790 
Nuckolls,2012,Non-Partisan,447 
Otoe,2012,Non-Partisan,2142 
Pawnee,2012,Non-Partisan,286 
Perkins,2012,Non-Partisan,283 
Phelps,2012,Non-Partisan,870 
Pierce,2012,Non-Partisan,703 
Platte,2012,Non-Partisan,2922 
Polk,2012,Non-Partisan,444 
Red Willow,2012,Non-Partisan,1391 
Richardson,2012,Non-Partisan,894 
Rock,2012,Non-Partisan,74 
Saline,2012,Non-Partisan,1418 
Sarpy,2012,Non-Partisan,24427 
Saunders,2012,Non-Partisan,2325 
Scotts Bluff,2012,Non-Partisan,4613 
Seward,2012,Non-Partisan,1803 
Sheridan,2012,Non-Partisan,596 
Sherman,2012,Non-Partisan,185 
Sioux,2012,Non-Partisan,112 
Stanton,2012,Non-Partisan,514 
Thayer,2012,Non-Partisan,522 
Thomas,2012,Non-Partisan,46 
Thurston,2012,Non-Partisan,601 
Valley,2012,Non-Partisan,337 
Washington,2012,Non-Partisan,2803 
Wayne,2012,Non-Partisan,823 
Webster,2012,Non-Partisan,363 
Wheeler,2012,Non-Partisan,54 
York,2012,Non-Partisan,1460 
Adams,2008,Non-Partisan,2789 
Antelope,2008,Non-Partisan,490 
Arthur,2008,Non-Partisan,11 
Banner,2008,Non-Partisan,46 
Blaine,2008,Non-Partisan,25 
Boone,2008,Non-Partisan,385 
Box Butte,2008,Non-Partisan,1190 
Boyd,2008,Non-Partisan,126 
Brown,2008,Non-Partisan,218 
Buffalo,2008,Non-Partisan,4359 
Burt,2008,Non-Partisan,807 
Butler,2008,Non-Partisan,934 
Cass,2008,Non-Partisan,3524 
Cedar,2008,Non-Partisan,839 
Chase,2008,Non-Partisan,245 
Cherry,2008,Non-Partisan,391 
Cheyenne,2008,Non-Partisan,1199 
Clay,2008,Non-Partisan,567 
Colfax,2008,Non-Partisan,600 
Cuming,2008,Non-Partisan,737 
Custer,2008,Non-Partisan,963 
Dakota,2008,Non-Partisan,2251 
Dawes,2008,Non-Partisan,976 
Dawson,2008,Non-Partisan,2086 
Deuel,2008,Non-Partisan,185 
Dixon,2008,Non-Partisan,619 
Dodge,2008,Non-Partisan,3592 
Douglas,2008,Non-Partisan,60903 
Dundy,2008,Non-Partisan,116 
Fillmore,2008,Non-Partisan,534 
Franklin,2008,Non-Partisan,326 
Frontier,2008,Non-Partisan,219 
Furnas,2008,Non-Partisan,436 
Gage,2008,Non-Partisan,2741 
Garden,2008,Non-Partisan,146 
Garfield,2008,Non-Partisan,100 
Gosper,2008,Non-Partisan,161 
Grant,2008,Non-Partisan,34 
Greeley,2008,Non-Partisan,134 
Hall,2008,Non-Partisan,5570 
Hamilton,2008,Non-Partisan,866 
Harlan,2008,Non-Partisan,291 
Hayes,2008,Non-Partisan,75 
Hitchcock,2008,Non-Partisan,261 
Holt,2008,Non-Partisan,653 
Hooker,2008,Non-Partisan,48 
Howard,2008,Non-Partisan,529 
Jefferson,2008,Non-Partisan,883 
Johnson,2008,Non-Partisan,352 
Kearney,2008,Non-Partisan,595 
Keith,2008,Non-Partisan,1007 
Keya Paha,2008,Non-Partisan,23 
Kimball,2008,Non-Partisan,410 
Knox,2008,Non-Partisan,751 
Lancaster,2008,Non-Partisan,32901 
Lincoln,2008,Non-Partisan,3340 
Logan,2008,Non-Partisan,45 
Loup,2008,Non-Partisan,30 
Madison,2008,Non-Partisan,3267 
McPherson,2008,Non-Partisan,14 
Merrick,2008,Non-Partisan,734 
Morrill,2008,Non-Partisan,497 
Nance,2008,Non-Partisan,281 
Nemaha,2008,Non-Partisan,733 
Nuckolls,2008,Non-Partisan,347 
Otoe,2008,Non-Partisan,1907 
Pawnee,2008,Non-Partisan,217 
Perkins,2008,Non-Partisan,254 
Phelps,2008,Non-Partisan,755 
Pierce,2008,Non-Partisan,617 
Platte,2008,Non-Partisan,2532 
Polk,2008,Non-Partisan,422 
Red Willow,2008,Non-Partisan,1276 
Richardson,2008,Non-Partisan,788 
Rock,2008,Non-Partisan,70 
Saline,2008,Non-Partisan,1259 
Sarpy,2008,Non-Partisan,19861 
Saunders,2008,Non-Partisan,1963 
Scotts Bluff,2008,Non-Partisan,3845 
Seward,2008,Non-Partisan,1612 
Sheridan,2008,Non-Partisan,524 
Sherman,2008,Non-Partisan,161 
Sioux,2008,Non-Partisan,106 
Stanton,2008,Non-Partisan,489 
Thayer,2008,Non-Partisan,470 
Thomas,2008,Non-Partisan,35 
Thurston,2008,Non-Partisan,518 
Valley,2008,Non-Partisan,304 
Washington,2008,Non-Partisan,2441 
Wayne,2008,Non-Partisan,820 
Webster,2008,Non-Partisan,328 
Wheeler,2008,Non-Partisan,40 
York,2008,Non-Partisan,1338 
Adams,2004,Non-Partisan,2880 
Antelope,2004,Non-Partisan,424 
Arthur,2004,Non-Partisan,15 
Banner,2004,Non-Partisan,33 
Blaine,2004,Non-Partisan,25 
Boone,2004,Non-Partisan,382 
Box Butte,2004,Non-Partisan,1329 
Boyd,2004,Non-Partisan,133 
Brown,2004,Non-Partisan,237 
Buffalo,2004,Non-Partisan,3899 
Burt,2004,Non-Partisan,760 
Butler,2004,Non-Partisan,965 
Cass,2004,Non-Partisan,3215 
Cedar,2004,Non-Partisan,714 
Chase,2004,Non-Partisan,236 
Cherry,2004,Non-Partisan,392 
Cheyenne,2004,Non-Partisan,896 
Clay,2004,Non-Partisan,583 
Colfax,2004,Non-Partisan,561 
Cuming,2004,Non-Partisan,647 
Custer,2004,Non-Partisan,925 
Dakota,2004,Non-Partisan,1873 
Dawes,2004,Non-Partisan,779 
Dawson,2004,Non-Partisan,1647 
Deuel,2004,Non-Partisan,173 
Dixon,2004,Non-Partisan,573 
Dodge,2004,Non-Partisan,3238 
Douglas,2004,Non-Partisan,57100 
Dundy,2004,Non-Partisan,118 
Fillmore,2004,Non-Partisan,538 
Franklin,2004,Non-Partisan,275 
Frontier,2004,Non-Partisan,198 
Furnas,2004,Non-Partisan,466 
Gage,2004,Non-Partisan,2654 
Garden,2004,Non-Partisan,130 
Garfield,2004,Non-Partisan,85 
Gosper,2004,Non-Partisan,159 
Grant,2004,Non-Partisan,36 
Greeley,2004,Non-Partisan,117 
Hall,2004,Non-Partisan,4915 
Hamilton,2004,Non-Partisan,876 
Harlan,2004,Non-Partisan,240 
Hayes,2004,Non-Partisan,54 
Hitchcock,2004,Non-Partisan,227 
Holt,2004,Non-Partisan,769 
Hooker,2004,Non-Partisan,27 
Howard,2004,Non-Partisan,476 
Jefferson,2004,Non-Partisan,782 
Johnson,2004,Non-Partisan,355 
Kearney,2004,Non-Partisan,597 
Keith,2004,Non-Partisan,974 
Keya Paha,2004,Non-Partisan,31 
Kimball,2004,Non-Partisan,357 
Knox,2004,Non-Partisan,719 
Lancaster,2004,Non-Partisan,30045 
Lincoln,2004,Non-Partisan,3267 
Logan,2004,Non-Partisan,41 
Loup,2004,Non-Partisan,31 
Madison,2004,Non-Partisan,2951 
McPherson,2004,Non-Partisan,11 
Merrick,2004,Non-Partisan,633 
Morrill,2004,Non-Partisan,425 
Nance,2004,Non-Partisan,229 
Nemaha,2004,Non-Partisan,654 
Nuckolls,2004,Non-Partisan,312 
Otoe,2004,Non-Partisan,1742 
Pawnee,2004,Non-Partisan,227 
Perkins,2004,Non-Partisan,246 
Phelps,2004,Non-Partisan,717 
Pierce,2004,Non-Partisan,522 
Platte,2004,Non-Partisan,2390 
Polk,2004,Non-Partisan,436 
Red Willow,2004,Non-Partisan,1221 
Richardson,2004,Non-Partisan,736 
Rock,2004,Non-Partisan,76 
Saline,2004,Non-Partisan,1164 
Sarpy,2004,Non-Partisan,15546 
Saunders,2004,Non-Partisan,1673 
Scotts Bluff,2004,Non-Partisan,3324 
Seward,2004,Non-Partisan,1545 
Sheridan,2004,Non-Partisan,471 
Sherman,2004,Non-Partisan,175 
Sioux,2004,Non-Partisan,138 
Stanton,2004,Non-Partisan,402 
Thayer,2004,Non-Partisan,442 
Thomas,2004,Non-Partisan,38 
Thurston,2004,Non-Partisan,417 
Valley,2004,Non-Partisan,328 
Washington,2004,Non-Partisan,1906 
Wayne,2004,Non-Partisan,1083 
Webster,2004,Non-Partisan,319 
Wheeler,2004,Non-Partisan,40 
York,2004,Non-Partisan,1215 
Adams,2000,Non-Partisan,2547 
Antelope,2000,Non-Partisan,379 
Arthur,2000,Non-Partisan,17 
Banner,2000,Non-Partisan,43 
Blaine,2000,Non-Partisan,22 
Boone,2000,Non-Partisan,400 
Box Butte,2000,Non-Partisan,1336 
Boyd,2000,Non-Partisan,133 
Brown,2000,Non-Partisan,218 
Buffalo,2000,Non-Partisan,3725 
Burt,2000,Non-Partisan,741 
Butler,2000,Non-Partisan,925 
Cass,2000,Non-Partisan,2738 
Cedar,2000,Non-Partisan,633 
Chase,2000,Non-Partisan,214 
Cherry,2000,Non-Partisan,323 
Cheyenne,2000,Non-Partisan,847 
Clay,2000,Non-Partisan,557 
Colfax,2000,Non-Partisan,480 
Cuming,2000,Non-Partisan,589 
Custer,2000,Non-Partisan,894 
Dakota,2000,Non-Partisan,1618 
Dawes,2000,Non-Partisan,788 
Dawson,2000,Non-Partisan,1478 
Deuel,2000,Non-Partisan,190 
Dixon,2000,Non-Partisan,512 
Dodge,2000,Non-Partisan,3110 
Douglas,2000,Non-Partisan,45659 
Dundy,2000,Non-Partisan,105 
Fillmore,2000,Non-Partisan,494 
Franklin,2000,Non-Partisan,270 
Frontier,2000,Non-Partisan,179 
Furnas,2000,Non-Partisan,466 
Gage,2000,Non-Partisan,2218 
Garden,2000,Non-Partisan,157 
Garfield,2000,Non-Partisan,72 
Gosper,2000,Non-Partisan,160 
Grant,2000,Non-Partisan,32 
Greeley,2000,Non-Partisan,104 
Hall,2000,Non-Partisan,4936 
Hamilton,2000,Non-Partisan,702 
Harlan,2000,Non-Partisan,219 
Hayes,2000,Non-Partisan,47 
Hitchcock,2000,Non-Partisan,234 
Holt,2000,Non-Partisan,760 
Hooker,2000,Non-Partisan,29 
Howard,2000,Non-Partisan,440 
Jefferson,2000,Non-Partisan,709 
Johnson,2000,Non-Partisan,359 
Kearney,2000,Non-Partisan,535 
Keith,2000,Non-Partisan,843 
Keya Paha,2000,Non-Partisan,34 
Kimball,2000,Non-Partisan,299 
Knox,2000,Non-Partisan,689 
Lancaster,2000,Non-Partisan,25317 
Lincoln,2000,Non-Partisan,2839 
Logan,2000,Non-Partisan,42 
Loup,2000,Non-Partisan,32 
Madison,2000,Non-Partisan,2571 
McPherson,2000,Non-Partisan,7 
Merrick,2000,Non-Partisan,531 
Morrill,2000,Non-Partisan,462 
Nance,2000,Non-Partisan,223 
Nemaha,2000,Non-Partisan,606 
Nuckolls,2000,Non-Partisan,327 
Otoe,2000,Non-Partisan,1452 
Pawnee,2000,Non-Partisan,202 
Perkins,2000,Non-Partisan,250 
Phelps,2000,Non-Partisan,683 
Pierce,2000,Non-Partisan,439 
Platte,2000,Non-Partisan,2053 
Polk,2000,Non-Partisan,395 
Red Willow,2000,Non-Partisan,1140 
Richardson,2000,Non-Partisan,718 
Rock,2000,Non-Partisan,76 
Saline,2000,Non-Partisan,991 
Sarpy,2000,Non-Partisan,12486 
Saunders,2000,Non-Partisan,1586 
Scotts Bluff,2000,Non-Partisan,3419 
Seward,2000,Non-Partisan,1464 
Sheridan,2000,Non-Partisan,438 
Sherman,2000,Non-Partisan,209 
Sioux,2000,Non-Partisan,131 
Stanton,2000,Non-Partisan,379 
Thayer,2000,Non-Partisan,383 
Thomas,2000,Non-Partisan,31 
Thurston,2000,Non-Partisan,355 
Valley,2000,Non-Partisan,305 
Washington,2000,Non-Partisan,1864 
Wayne,2000,Non-Partisan,1019 
Webster,2000,Non-Partisan,342 
Wheeler,2000,Non-Partisan,47 
York,2000,Non-Partisan,1066 
Adams,2016,Libertarian,174 
Antelope,2016,Libertarian,14 
Arthur,2016,Libertarian,3 
Banner,2016,Libertarian,7 
Blaine,2016,Libertarian,2 
Boone,2016,Libertarian,12 
Box Butte,2016,Libertarian,62 
Boyd,2016,Libertarian,4 
Brown,2016,Libertarian,10 
Buffalo,2016,Libertarian,332 
Burt,2016,Libertarian,35 
Butler,2016,Libertarian,20 
Cass,2016,Libertarian,193 
Cedar,2016,Libertarian,17 
Chase,2016,Libertarian,9 
Cherry,2016,Libertarian,11 
Cheyenne,2016,Libertarian,58 
Clay,2016,Libertarian,18 
Colfax,2016,Libertarian,24 
Cuming,2016,Libertarian,28 
Custer,2016,Libertarian,58 
Dakota,2016,Libertarian,93 
Dawes,2016,Libertarian,50 
Dawson,2016,Libertarian,120 
Deuel,2016,Libertarian,11 
Dixon,2016,Libertarian,19 
Dodge,2016,Libertarian,184 
Douglas,2016,Libertarian,3743 
Dundy,2016,Libertarian,1 
Fillmore,2016,Libertarian,19 
Franklin,2016,Libertarian,10 
Frontier,2016,Libertarian,11 
Furnas,2016,Libertarian,21 
Gage,2016,Libertarian,113 
Garden,2016,Libertarian,5 
Garfield,2016,Libertarian,3 
Gosper,2016,Libertarian,7 
Grant,2016,Libertarian,0 
Greeley,2016,Libertarian,2 
Hall,2016,Libertarian,266 
Hamilton,2016,Libertarian,52 
Harlan,2016,Libertarian,11 
Hayes,2016,Libertarian,2 
Hitchcock,2016,Libertarian,13 
Holt,2016,Libertarian,23 
Hooker,2016,Libertarian,3 
Howard,2016,Libertarian,26 
Jefferson,2016,Libertarian,30 
Johnson,2016,Libertarian,20 
Kearney,2016,Libertarian,35 
Keith,2016,Libertarian,46 
Keya Paha,2016,Libertarian,3 
Kimball,2016,Libertarian,11 
Knox,2016,Libertarian,23 
Lancaster,2016,Libertarian,2067 
Lincoln,2016,Libertarian,207 
Logan,2016,Libertarian,1 
Loup,2016,Libertarian,1 
Madison,2016,Libertarian,144 
McPherson,2016,Libertarian,3 
Merrick,2016,Libertarian,30 
Morrill,2016,Libertarian,26 
Nance,2016,Libertarian,9 
Nemaha,2016,Libertarian,28 
Nuckolls,2016,Libertarian,20 
Otoe,2016,Libertarian,78 
Pawnee,2016,Libertarian,12 
Perkins,2016,Libertarian,7 
Phelps,2016,Libertarian,36 
Pierce,2016,Libertarian,20 
Platte,2016,Libertarian,147 
Polk,2016,Libertarian,15 
Red Willow,2016,Libertarian,44 
Richardson,2016,Libertarian,23 
Rock,2016,Libertarian,1 
Saline,2016,Libertarian,59 
Sarpy,2016,Libertarian,1350 
Saunders,2016,Libertarian,111 
Scotts Bluff,2016,Libertarian,207 
Seward,2016,Libertarian,71 
Sheridan,2016,Libertarian,16 
Sherman,2016,Libertarian,13 
Sioux,2016,Libertarian,8 
Stanton,2016,Libertarian,35 
Thayer,2016,Libertarian,17 
Thomas,2016,Libertarian,1 
Thurston,2016,Libertarian,13 
Valley,2016,Libertarian,8 
Washington,2016,Libertarian,124 
Wayne,2016,Libertarian,46 
Webster,2016,Libertarian,12 
Wheeler,2016,Libertarian,4 
York,2016,Libertarian,74 
Adams,2012,Libertarian,54 
Antelope,2012,Libertarian,3 
Arthur,2012,Libertarian,0 
Banner,2012,Libertarian,2 
Blaine,2012,Libertarian,1 
Boone,2012,Libertarian,2 
Box Butte,2012,Libertarian,19 
Boyd,2012,Libertarian,3 
Brown,2012,Libertarian,0 
Buffalo,2012,Libertarian,110 
Burt,2012,Libertarian,13 
Butler,2012,Libertarian,9 
Cass,2012,Libertarian,53 
Cedar,2012,Libertarian,9 
Chase,2012,Libertarian,4 
Cherry,2012,Libertarian,1 
Cheyenne,2012,Libertarian,22 
Clay,2012,Libertarian,8 
Colfax,2012,Libertarian,5 
Cuming,2012,Libertarian,6 
Custer,2012,Libertarian,14 
Dakota,2012,Libertarian,40 
Dawes,2012,Libertarian,13 
Dawson,2012,Libertarian,31 
Deuel,2012,Libertarian,1 
Dixon,2012,Libertarian,5 
Dodge,2012,Libertarian,53 
Douglas,2012,Libertarian,1057 
Dundy,2012,Libertarian,1 
Fillmore,2012,Libertarian,8 
Franklin,2012,Libertarian,3 
Frontier,2012,Libertarian,1 
Furnas,2012,Libertarian,7 
Gage,2012,Libertarian,32 
Garden,2012,Libertarian,5 
Garfield,2012,Libertarian,0 
Gosper,2012,Libertarian,1 
Grant,2012,Libertarian,0 
Greeley,2012,Libertarian,1 
Hall,2012,Libertarian,85 
Hamilton,2012,Libertarian,13 
Harlan,2012,Libertarian,3 
Hayes,2012,Libertarian,0 
Hitchcock,2012,Libertarian,2 
Holt,2012,Libertarian,10 
Hooker,2012,Libertarian,0 
Howard,2012,Libertarian,5 
Jefferson,2012,Libertarian,8 
Johnson,2012,Libertarian,3 
Kearney,2012,Libertarian,12 
Keith,2012,Libertarian,12 
Keya Paha,2012,Libertarian,1 
Kimball,2012,Libertarian,7 
Knox,2012,Libertarian,2 
Lancaster,2012,Libertarian,584 
Lincoln,2012,Libertarian,57 
Logan,2012,Libertarian,1 
Loup,2012,Libertarian,0 
Madison,2012,Libertarian,46 
McPherson,2012,Libertarian,1 
Merrick,2012,Libertarian,7 
Morrill,2012,Libertarian,8 
Nance,2012,Libertarian,2 
Nemaha,2012,Libertarian,10 
Nuckolls,2012,Libertarian,2 
Otoe,2012,Libertarian,18 
Pawnee,2012,Libertarian,0 
Perkins,2012,Libertarian,1 
Phelps,2012,Libertarian,13 
Pierce,2012,Libertarian,3 
Platte,2012,Libertarian,46 
Polk,2012,Libertarian,4 
Red Willow,2012,Libertarian,18 
Richardson,2012,Libertarian,15 
Rock,2012,Libertarian,0 
Saline,2012,Libertarian,19 
Sarpy,2012,Libertarian,371 
Saunders,2012,Libertarian,15 
Scotts Bluff,2012,Libertarian,58 
Seward,2012,Libertarian,13 
Sheridan,2012,Libertarian,6 
Sherman,2012,Libertarian,2 
Sioux,2012,Libertarian,2 
Stanton,2012,Libertarian,7 
Thayer,2012,Libertarian,1 
Thomas,2012,Libertarian,1 
Thurston,2012,Libertarian,2 
Valley,2012,Libertarian,5 
Washington,2012,Libertarian,29 
Wayne,2012,Libertarian,10 
Webster,2012,Libertarian,4 
Wheeler,2012,Libertarian,3 
York,2012,Libertarian,20 
Adams,2008,Libertarian,3 
Antelope,2008,Libertarian,1 
Arthur,2008,Libertarian,0 
Banner,2008,Libertarian,0 
Blaine,2008,Libertarian,0 
Boone,2008,Libertarian,0 
Box Butte,2008,Libertarian,2 
Boyd,2008,Libertarian,0 
Brown,2008,Libertarian,0 
Buffalo,2008,Libertarian,16 
Burt,2008,Libertarian,2 
Butler,2008,Libertarian,2 
Cass,2008,Libertarian,5 
Cedar,2008,Libertarian,0 
Chase,2008,Libertarian,1 
Cherry,2008,Libertarian,0 
Cheyenne,2008,Libertarian,6 
Clay,2008,Libertarian,0 
Colfax,2008,Libertarian,0 
Cuming,2008,Libertarian,0 
Custer,2008,Libertarian,3 
Dakota,2008,Libertarian,3 
Dawes,2008,Libertarian,6 
Dawson,2008,Libertarian,2 
Deuel,2008,Libertarian,0 
Dixon,2008,Libertarian,0 
Dodge,2008,Libertarian,5 
Douglas,2008,Libertarian,186 
Dundy,2008,Libertarian,0 
Fillmore,2008,Libertarian,1 
Franklin,2008,Libertarian,0 
Frontier,2008,Libertarian,1 
Furnas,2008,Libertarian,1 
Gage,2008,Libertarian,1 
Garden,2008,Libertarian,0 
Garfield,2008,Libertarian,0 
Gosper,2008,Libertarian,0 
Grant,2008,Libertarian,0 
Greeley,2008,Libertarian,0 
Hall,2008,Libertarian,7 
Hamilton,2008,Libertarian,1 
Harlan,2008,Libertarian,0 
Hayes,2008,Libertarian,0 
Hitchcock,2008,Libertarian,0 
Holt,2008,Libertarian,2 
Hooker,2008,Libertarian,0 
Howard,2008,Libertarian,0 
Jefferson,2008,Libertarian,1 
Johnson,2008,Libertarian,0 
Kearney,2008,Libertarian,2 
Keith,2008,Libertarian,2 
Keya Paha,2008,Libertarian,0 
Kimball,2008,Libertarian,0 
Knox,2008,Libertarian,2 
Lancaster,2008,Libertarian,103 
Lincoln,2008,Libertarian,8 
Logan,2008,Libertarian,0 
Loup,2008,Libertarian,0 
Madison,2008,Libertarian,5 
McPherson,2008,Libertarian,0 
Merrick,2008,Libertarian,1 
Morrill,2008,Libertarian,4 
Nance,2008,Libertarian,0 
Nemaha,2008,Libertarian,0 
Nuckolls,2008,Libertarian,2 
Otoe,2008,Libertarian,3 
Pawnee,2008,Libertarian,0 
